TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.018594104,0.261938,0.740302,1.42823,0.250665,0.494979,0.241681,0.142989,0.300547,0.306665,1.74875,0.066036,0.333207
3.065034014,0.251728,0.426189,1.50405,0.28942,0.469104,0.145868,0.17337,0.32783,0.0580703,1.65618,0.117574,0.431947
3.111473923,0.238122,0.829517,1.24249,0.355041,0.417635,0.220018,0.147576,0.382138,0.0311863,1.53961,0.165479,0.47519
3.157913832,0.241191,0.963022,0.903851,0.259467,0.516939,0.230953,0.14374,0.33321,0.0267822,1.55774,0.253589,0.320122
3.204353741,0.253355,0.894131,0.740914,0.184781,0.427416,0.386007,0.0768318,0.339639,0.0256261,1.71127,0.231688,0.22389
3.250793651,0.301851,0.785501,0.841683,0.101379,0.339959,0.572301,0.0962089,0.368291,0.0243345,1.75221,0.23969,0.207162
3.297233560,0.387558,0.760832,1.04211,0.0591714,0.290717,0.610356,0.0949584,0.380798,0.0222937,1.66755,0.308971,0.258242
3.343673469,0.410616,0.475218,1.26631,0.123325,0.196201,0.610104,0.160971,0.429466,0.022256,1.35686,0.418312,0.329815
3.390113379,0.360495,0.246217,1.35457,0.149768,0.227578,0.607425,0.335479,0.532847,0.0588592,1.16697,0.398656,0.415546
3.436553288,0.344463,0.142534,1.30015,0.102448,0.266292,0.473308,0.423879,0.642231,0.241428,0.991149,0.283997,0.460929
3.482993197,0.367732,0.121987,1.20674,0.103062,0.298373,0.363145,0.418981,0.66857,0.312603,0.895674,0.196711,0.44648
3.529433107,0.369122,0.0546095,1.35522,0.109847,0.322976,0.325187,0.368809,0.652717,0.366409,0.725911,0.154142,0.429106
3.575873016,0.392401,0,1.45336,0.205002,0.347326,0.331639,0.185139,0.644137,0.66328,0.817697,0.138613,0.408716
3.622312925,0.452808,0,1.30592,0.344684,0.42756,0.406187,0.0306016,0.610237,0.818805,0.996067,0.0688588,0.378008
3.668752834,0.522285,0.0151723,1.22186,0.243322,0.500934,0.447849,0.0317092,0.649127,0.787926,1.02748,0.144709,0.370346
3.715192744,0.449522,0.0660947,1.1465,0.171209,0.528153,0.626017,0.0330357,0.77878,0.733501,0.88946,0.0515111,0.335897
3.761632653,0.308162,0.21496,1.01097,0.0908096,0.581472,0.702663,0.0954783,1.01695,0.64519,0.781136,0.0737254,0.296608
3.808072562,0.303273,0.251305,1.04243,0.126467,0.628163,0.66696,0.0999408,1.0358,0.493593,0.748262,0.2279,0.31971
3.854512472,0.353442,0.291231,1.07351,0.191164,0.713187,0.485968,0.121077,0.93854,0.473898,0.817487,0.309744,0.262797
3.900952381,0.333624,0.40636,1.03554,0.208285,0.585243,0.248424,0.136649,0.845674,0.541316,0.8512,0.30892,0.266961
3.947392290,0.275111,0.355194,1.04868,0.307797,0.484862,0.227998,0.0896309,0.95169,0.507329,0.643721,0.340644,0.295395
3.993832200,0.326101,0.155729,1.09122,0.614794,0.456112,0.291312,0.0384617,1.25646,0.237998,0.545461,0.504835,0.241188
4.040272109,0.376421,0.210702,1.08966,0.348998,0.547743,0.33874,0.0331306,1.26851,0.0426921,0.561603,0.503842,0.210335
4.086712018,0.460214,0.328911,1.06142,0.23914,0.541041,0.250841,0.0549575,1.04272,0.0358291,0.608587,0.204055,0.270184
