TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
145.333696145,-264.206,31.024,-2.98552,22.9898,4.42837,7.29132,-1.18319,0.612916,-6.35486,-1.53904,-1.38872,6.21524,5.31891,2.49775,2.4494,2.15871,5.43335,4.12432,2.43796,-3.32418,-5.82667
145.356916100,-192.352,7.4678,-3.41245,17.7848,-5.3235,2.02932,2.66111,5.56229,-4.85479,3.49769,-0.765457,3.73404,-0.853522,5.59558,2.5471,3.32542,-0.437414,5.26964,1.42466,-0.122615,-0.709771
145.380136054,-224.327,15.1995,-0.537507,23.3283,-1.04018,5.25536,-0.0928785,0.796027,-1.91019,3.36372,-0.821588,7.44253,3.72295,10.4448,3.30511,6.09354,0.880053,1.42566,0.0673272,1.34644,-3.91056
145.403356009,-247.752,27.0446,2.77124,21.2681,-2.39759,5.06425,-0.179956,-1.52659,-7.35405,1.41764,-4.34852,5.99513,1.52037,9.60674,2.13419,2.48934,-1.75207,2.64057,-2.13945,-0.0183277,-7.61558
145.426575964,-254.853,27.9573,5.26196,16.0206,0.373942,8.53421,-0.648362,4.28541,-4.77313,0.595698,-2.47764,7.52551,5.47434,8.68698,1.29866,4.66649,-1.85748,2.51305,-0.866747,-3.61467,-8.70147
145.449795918,-227.737,25.6427,8.88828,17.9326,9.10375,7.00763,-1.32732,3.34445,-6.69532,0.0581683,-4.55388,3.17709,-1.50467,2.64993,-1.81918,-0.761134,0.174103,2.20381,0.845745,-0.0803863,-2.41296
145.473015873,-262.572,33.5869,14.3315,15.2619,4.14822,9.0622,2.46599,5.66114,-5.4638,1.3111,-2.89976,7.15979,4.91335,10.9132,-1.98621,2.39494,-1.53129,1.49513,0.386498,-1.08328,-3.63151
145.496235828,-277.39,38.6841,12.1288,16.9762,6.62667,8.78413,1.64473,7.1592,-3.27734,0.144319,-3.54948,7.74937,6.8803,7.82726,0.309118,4.17031,2.50165,3.71855,1.60916,-1.05817,-4.47028
145.519455782,-293.572,53.7844,4.34008,19.77,-3.25075,20.3916,-1.36856,12.6477,-6.18646,2.02871,-3.38321,7.84959,4.64327,7.43665,3.03947,0.440476,2.62485,1.86717,8.65099,-1.97167,0.212465
145.542675737,-303.292,54.9273,3.10038,20.075,3.63003,18.8393,-2.75359,11.9538,-4.37114,3.80836,-1.86069,6.106,3.13824,9.0632,5.28978,-1.21211,5.50793,1.15482,6.83124,-3.51152,-0.447187
145.565895692,-303.876,54.548,1.6034,20.797,2.00449,17.8556,-3.25959,14.2932,-1.84434,5.49955,-5.71235,4.01033,4.40888,3.92006,4.59339,0.794585,2.78908,0.417957,7.27958,-2.37928,3.25878
145.589115646,-283.516,34.4351,7.3378,16.7119,8.6762,9.0389,6.81291,6.2771,-1.48528,-1.97983,-1.08887,4.37093,5.67081,6.17795,3.72976,5.50392,4.31001,4.02268,2.73335,-1.29655,-3.06321
145.612335601,-203.397,7.52549,-3.77223,18.8542,0.133595,6.83436,3.08982,10.669,-0.417376,5.53367,3.82321,7.95501,0.973801,7.7679,3.43412,4.73858,1.14893,4.9612,1.62561,0.802315,-1.25862
145.635555556,-227.617,10.5351,-1.58573,22.5627,1.03555,8.13671,4.12692,4.48493,0.929262,6.36387,1.53252,6.25689,3.07016,9.72432,4.53948,5.38231,1.24702,3.95508,-0.800897,2.67892,-1.96329
145.658775510,-259.346,24.4594,6.1489,24.365,-1.48347,7.47128,2.85631,3.47442,-4.14933,4.40922,-0.577858,8.61423,3.96698,8.85997,1.21801,6.73379,2.54198,4.29952,0.478287,1.38106,-1.70851
145.681995465,-251.686,23.2689,11.8849,16.8308,0.100859,10.4403,1.36788,6.47704,-9.06321,0.184437,0.299014,6.73316,3.13723,9.46406,5.0424,5.83492,-0.657486,3.25186,-0.446842,-0.294071,-2.10368
145.705215420,-180.385,7.69946,-8.07838,18.9671,-2.07377,6.96258,-0.698817,4.83735,-2.64113,3.25728,-3.10297,4.7916,1.19271,4.44741,0.815051,3.88964,1.54478,6.06009,1.07257,2.4658,-1.33746
145.728435374,-203.123,14.4283,-12.6549,27.2371,-3.33818,15.1512,-3.91289,7.33257,-10.1288,5.11477,-6.08166,9.54242,-2.21989,10.6671,-0.106581,8.84928,-3.33948,7.13929,-1.38856,3.61503,-4.31498
145.751655329,-225.908,22.7287,-10.2077,27.7967,-4.14726,13.2575,-2.83363,7.57034,-9.15671,5.71958,-7.81516,9.08509,-1.98636,7.62221,-0.838364,5.73969,-1.64098,8.14259,0.429971,3.08868,-2.35286
145.774875283,-243.991,31.5767,-10.9134,30.6058,-4.96342,12.5234,-1.81488,10.1037,-10.2684,5.02634,-6.58595,7.64694,-1.88075,7.296,0.484704,5.03482,-1.34508,4.70565,3.11003,2.28624,1.15518
145.798095238,-248.858,27.7039,-4.98512,24.9483,-0.585524,5.08584,4.37077,4.55596,-4.21869,1.96709,-2.3558,6.26076,-1.27995,3.64687,2.96554,4.10355,-2.41592,2.37307,1.59479,0.582253,-1.77104
145.821315193,-254.067,26.0823,-0.353569,24.3876,-1.17358,3.2999,6.50352,1.60215,-5.47304,-2.75587,-5.10021,4.4568,-3.20517,4.26105,0.404626,1.33045,0.979226,3.01087,2.69105,-0.362529,-2.37223
145.844535147,-260.889,28.0884,1.33679,21.5453,1.17615,-0.294983,1.84135,-0.621081,-1.50069,-5.15763,-3.09991,3.15172,1.11038,1.29856,-1.38482,1.49864,2.00294,2.82225,1.74709,1.34509,0.166777
145.867755102,-200.561,8.83779,-4.61746,22.5159,-5.1561,3.56425,1.41599,3.90583,-6.67336,2.76002,-1.96611,2.77655,-4.71302,3.04682,-1.07632,2.40204,-2.58359,3.93387,0.0793622,0.801188,-0.78702
145.890975057,-243.323,24.7558,-4.04522,28.6325,-2.0306,13.1342,-3.03075,6.09979,-7.3559,4.60921,-6.46893,7.65968,-0.722672,8.12355,-3.82053,4.94402,-4.6155,4.63452,-2.50868,5.24824,-1.47055
145.914195011,-277.44,45.6443,-8.88607,39.7285,-11.7767,15.4393,-10.6466,5.01424,-5.85722,5.56229,-5.31527,5.53105,-1.36102,2.55973,5.81356,-1.77441,5.7902,-3.18008,7.42437,-4.46861,4.53176
145.937414966,-277.543,50.4215,2.63481,24.595,-2.04923,5.73774,-0.38687,1.00688,0.768986,-1.27325,0.800628,1.23346,0.968795,4.98697,3.79068,7.0671,1.70315,2.15404,1.36986,-0.838751,-1.2192
145.960634921,-198.811,27.9103,-3.53628,9.67345,0.473167,5.9543,5.57674,4.67196,-5.70048,-1.37282,-4.29261,2.11617,-2.11928,-0.155025,-0.427148,2.17187,-0.786086,0.784085,-0.532664,0.766518,-1.38211
145.983854875,-212.609,33.5841,-18.2153,15.3748,-3.07005,7.27671,2.10805,6.19451,-3.56806,3.15015,-2.76011,1.33044,-0.616811,3.40359,2.02329,3.41535,-0.901619,2.65359,1.36583,1.67189,1.53423
146.007074830,-240.801,48.6059,-17.918,27.1063,-5.05104,15.5429,-4.69322,11.0052,-6.25304,7.00142,-3.87151,6.20955,2.74995,4.74419,3.05386,3.82488,3.08917,-1.10951,4.886,-1.43123,2.2958
146.030294785,-266.749,52.662,-6.28235,23.9954,-4.92461,15.1325,-0.55265,11.1664,-5.63001,9.75078,-3.72319,3.91935,-0.349573,5.42409,3.26582,3.05804,6.45403,-1.73945,5.29026,-3.39051,4.02445
146.053514739,-287.089,58.2668,2.62131,18.5183,-2.96096,10.759,-2.36099,13.3711,-3.09134,8.52838,-2.93403,5.03634,0.20039,6.39996,2.61708,4.59417,5.02418,-1.87605,6.28378,-3.68798,5.24799
146.076734694,-292.032,57.0346,1.70144,17.9742,-2.25191,14.4557,-3.35388,10.1218,-3.30756,7.45441,-3.81506,5.92762,1.86473,5.91091,1.74637,2.36361,6.71162,0.94867,7.04762,-2.34158,4.15891
146.099954649,-296.471,53.5854,2.50888,19.868,-3.28531,14.5429,-2.48281,11.479,-4.93928,5.32616,-5.42245,6.09074,1.69584,8.44363,3.99416,2.9245,5.0638,-1.86837,4.73332,-0.57183,4.02271
146.123174603,-302.374,56.9531,5.34598,18.3057,-3.62138,13.8242,-4.04467,12.7634,-2.16913,4.35792,-4.14681,5.71106,-0.116105,6.08224,3.76789,5.79699,6.48504,-1.67058,5.55624,-4.15015,2.20941
146.146394558,-305.558,55.7176,3.1628,16.486,-5.09069,14.8258,-2.31254,10.1937,-2.86159,9.28595,-1.92382,7.31595,0.908535,6.62016,0.965213,4.86864,6.472,-1.68938,7.29675,-4.19128,1.59066
146.169614512,-307.878,53.0714,2.00569,19.4585,-0.811301,15.2309,-6.72131,10.2912,-5.33663,8.60594,-2.98351,7.76867,0.751204,7.37903,3.93039,2.58279,5.23856,-2.38841,2.73642,-3.01736,3.63978
146.192834467,-292.513,41.9526,11.7896,12.9805,3.43198,8.498,1.3045,7.30321,3.04101,2.51032,-0.450001,2.81527,0.0517849,3.75493,1.3882,4.56589,1.93398,1.39227,0.401393,-0.574659,-0.0112941
146.216054422,-199.387,19.1425,-16.3482,27.9377,-6.26392,13.6735,-1.66848,10.3409,-4.72874,5.7047,-4.7263,6.6634,-2.59764,6.96386,0.435719,7.51164,-0.256805,6.86529,-2.50409,3.05243,-6.46435
146.239274376,-221.844,24.4872,-16.1761,32.6061,-6.80131,14.2009,-5.42145,6.52777,-7.46801,6.41306,-2.44597,6.75513,-1.23527,8.06903,2.09399,5.67455,1.14825,6.20394,-0.10022,1.86018,-4.80015
146.262494331,-237.358,28.3419,-13.0418,34.8406,-5.1016,16.1989,-3.31448,6.72644,-9.38667,4.67403,-6.17524,6.55487,-2.46434,6.00666,-0.354047,5.7755,0.124048,5.38899,0.936193,-1.11266,-3.3809
146.285714286,-251.534,38.92,-13.6346,38.5155,-8.83941,14.7561,-3.51266,10.5774,-8.28198,4.75378,-5.6759,5.767,-1.25265,4.82972,1.69914,-0.66712,1.36832,1.85158,5.94743,-4.27857,0.317785
146.308934240,-251.044,27.5185,-5.63675,26.244,0.432487,5.75647,3.82024,3.23161,-3.50097,2.30385,-2.16171,5.57527,-1.21408,5.07226,0.189226,1.13178,-3.87872,4.64472,1.92743,1.8246,-1.20669
146.332154195,-259.161,32.4426,-6.66573,29.8087,-4.08385,6.62457,3.53472,7.55584,-3.55442,0.613111,-3.29131,7.20559,1.6813,4.33396,1.58356,1.06668,2.06174,2.99924,0.956633,0.41682,0.310664
146.355374150,-240.279,10.6853,0.445813,22.9171,2.83334,1.40088,9.17073,1.17698,1.97382,1.67102,-0.351068,5.42514,0.172927,0.760759,-0.595831,0.472995,-0.751591,0.722979,0.789171,4.5072,-0.487351
146.378594104,-216.499,13.2565,-12.1558,25.6324,-8.47697,8.06681,0.606881,7.50068,-4.05562,5.78146,0.0386658,4.08416,-2.08034,4.03214,-0.930009,5.00485,-1.46544,4.64976,-0.658166,-0.54072,-0.21292
146.401814059,-262.136,26.2061,-13.6306,35.4968,-6.50674,18.8151,-7.43188,8.04718,-6.46852,6.15938,-5.35047,4.65221,-4.40491,3.609,1.04112,6.42631,1.06652,2.25298,-0.351891,1.57333,-1.33596
146.425034014,-285.941,40.4743,-9.78364,33.0928,-11.317,15.5007,-11.0299,7.60095,-9.47107,5.62252,-8.31468,6.42637,-4.31541,3.03786,1.47458,2.84214,1.64868,2.72856,5.3778,-2.36271,1.70826
146.448253968,-273.328,30.8844,9.28542,16.5661,3.59078,1.58228,-3.66473,3.03681,-2.67389,-0.766523,-6.80737,-0.693051,-0.911283,3.44752,0.753063,3.44022,0.543198,1.69057,1.52919,1.5896,-0.0571673
146.471473923,-250.318,21.6275,13.2922,20.5927,6.06458,4.91134,-2.75007,2.0682,-8.49053,-2.5562,-8.33932,-0.0315127,-6.47349,1.29931,-3.89943,-0.629975,-1.60259,-0.103688,-0.171084,-0.951738,-3.49954
146.494693878,-262.772,38.6821,13.8098,12.2729,3.61982,7.46765,-1.96436,6.10427,-4.35314,-1.04292,-5.94004,0.289217,-0.479672,8.39846,0.513587,8.1742,2.90668,2.0306,1.48075,0.29173,-0.0240177
146.517913832,-274.092,41.468,13.174,12.7849,5.97378,9.46218,0.147459,3.1953,-3.42282,1.73721,-2.08361,3.65971,1.57341,9.54064,3.65155,5.55627,2.5215,2.51103,3.88491,1.24553,-0.918574
146.541133787,-289.354,56.6516,4.92633,23.2053,-1.80976,16.6882,-6.98284,10.6973,-7.51667,3.61983,-4.32265,0.415974,2.05297,9.9476,8.59749,3.30727,5.8994,-2.20486,4.96002,-3.83734,1.52943
146.564353741,-292.464,55.906,5.47575,22.4842,-1.30218,13.2953,-5.06774,8.56266,-3.80358,6.94058,-6.39149,1.433,2.36521,8.89176,4.56534,5.40062,4.88445,1.38089,5.94145,-3.60128,4.66374
146.587573696,-264.501,42.8293,9.65392,11.9106,3.6229,12.8638,-3.74918,4.09933,-3.52514,-0.0691147,-1.71397,6.6043,5.12999,9.7327,4.99218,7.63689,1.49269,3.26002,2.9352,0.719433,0.268355
146.610793651,-216.649,14.2146,1.19777,25.5999,4.89821,4.76396,7.15286,-2.74233,-3.91923,-1.09195,-1.6825,6.5621,4.47521,8.73537,7.95538,6.37806,2.98421,1.58117,0.0339152,2.86744,-2.04269
146.634013605,-217.782,21.0886,-6.52684,27.7736,-9.28014,13.2823,-2.33468,10.0025,-5.39377,5.50157,-3.40045,7.46387,-2.72756,9.67861,0.0815416,8.95058,0.720937,5.48241,-2.19314,1.75513,-1.61277
146.657233560,-235.305,22.0878,-1.22787,26.7822,0.0714843,9.91664,-0.10299,4.05686,-3.60732,0.97276,-5.11702,6.60334,2.12637,6.97495,3.36372,5.17348,1.08231,3.05857,-0.0522521,4.48067,-2.19692
146.680453515,-268.509,29.0152,2.8669,23.8762,-4.64502,12.517,2.00075,5.1518,-4.91206,8.43761,-5.52782,5.86217,-2.51063,12.6823,4.30351,7.86876,-0.919582,5.77586,-1.18326,6.01671,-0.525341
