TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.766258503,-266.655,6.71048,0.0384559,16.7132,-15.6197,1.91979,-11.6851,4.93453,-12.4928,-2.22488,-11.6033,-0.747539,-12.3759,-0.935815,-7.33348,1.08453,-5.54309,1.86956,-6.26145,-2.66626,-6.03837
0.789478458,-287.063,16.8709,-0.228073,15.1271,-19.1336,6.7309,-12.3405,7.26644,-11.3768,-0.150021,-15.8614,-3.04002,-12.7754,1.97459,-9.45626,0.615806,-7.60607,4.02093,-8.46612,-0.739316,-7.42484
0.812698413,-291.794,25.5021,-7.57706,9.51689,-14.0252,11.9388,-13.6983,4.98056,-16.1252,-3.07873,-10.1817,-4.38286,-13.2756,-0.192759,-3.0237,0.525354,-8.51666,5.79923,-8.31948,-3.37264,-10.9949
0.835918367,-292.497,28.332,-14.7823,19.0431,-24.0771,12.8479,-15.3331,6.33834,-11.6075,-5.1997,-3.9144,-9.3512,-6.12588,-2.93994,-1.83232,-1.96546,-11.7725,3.50562,-10.2258,2.78711,-8.81719
0.859138322,-280.452,18.0301,-15.4366,14.6856,-26.3906,10.4894,-14.531,7.57269,-15.0714,-3.97321,-8.79834,-4.18089,-10.9924,1.29024,-3.77197,2.16989,-13.8689,5.59445,-10.5846,-0.828087,-8.5393
0.882358277,-269.818,31.3899,-16.1053,-1.54775,-17.55,5.89209,-14.722,14.6673,-15.0925,-11.8584,-6.71508,-2.16662,-6.15929,5.09342,-6.44897,0.030192,-13.3018,5.69771,-7.95607,0.980846,-7.46233
0.905578231,-287.62,35.8499,-19.0507,1.78451,-7.43326,8.77456,-16.3654,12.8738,-14.5117,-15.398,-9.0148,-3.51779,-7.67137,3.79764,-0.671395,-3.56976,-14.7491,8.9074,-9.79665,1.94017,-9.19257
0.928798186,-308.527,40.5247,-11.8852,2.22134,-8.2318,13.6379,-16.7325,9.77923,-8.56946,-18.1166,-6.35952,-1.8653,-10.4939,2.58509,-1.0462,-6.91616,-17.296,12.0362,-10.886,0.00106034,-5.39409
0.952018141,-307.217,40.0894,-14.4065,1.50577,-6.92962,14.8699,-13.6612,4.89351,-9.75175,-14.9707,-3.54637,-3.87543,-9.79978,-1.38817,-6.05306,-1.3052,-14.7755,12.3371,-10.9669,1.47281,-7.84075
0.975238095,-308.467,33.8696,-14.9165,6.34626,-8.65761,12.7198,-14.1356,8.5044,-14.968,-12.0438,-3.68531,-3.15886,-10.9981,-2.59916,-6.13029,0.317056,-13.2101,7.51681,-8.80253,1.55575,-6.73824
0.998458050,-280.061,34.7601,-15.0096,4.00678,-17.5849,3.85029,-20.2932,12.2959,-18.1586,-13.5923,-4.25001,-2.08502,-8.44099,-6.59859,-0.832863,4.59444,-8.86142,6.05414,-5.04705,5.41231,-5.13413
1.021678005,-291.885,41.5889,-15.269,1.76219,-12.2354,1.57834,-27.7073,8.6429,-16.1878,-14.5142,0.679381,-6.4809,-4.85724,-5.87559,-0.430712,-1.03132,-7.55889,6.81967,-10.5248,6.06354,-6.44666
