Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6jhTensPvs4eZGurUsyztz,"Vegan","Vegan","Ome Omar",2021-10-01,159402,0,true,11164375455,2026-03-23T19:10:19Z,"","Ome Omar",0.827,0.612,0,-7.435,0,0.108,0.216,0.00012,0.103,0.384,134.051,4
spotify:track:3Psh6avwZiwRtB8WVGLGcI,"Nederlandse Zon","Nederlandse Zon","Ome Omar",2021-01-23,157500,9,true,11164375455,2026-03-23T19:10:19Z,"","Ome Omar",0.754,0.442,1,-11.829,0,0.732,0.487,0,0.181,0.534,79.891,4
spotify:track:19aF7i8nl6si3QZ1GTXmWo,"Sneeuw in de Flats van Overvecht","Nelconic","Nelcon",2021-06-18,136582,13,true,11164375455,2026-03-23T19:10:19Z,"","Burning Fik",0.73,0.866,2,-6.79,1,0.302,0.0711,0,0.338,0.773,74.457,4
spotify:track:5aPrgWOymwg7GbJxJP0HeJ,"Une Vie","Pourriture Noble","Zwangere Guy;Lander Gyselinck",2022-11-03,310106,19,false,11164375455,2026-03-23T19:10:19Z,"","Top Notch Music",0.542,0.62,1,-10.056,1,0.304,0.396,0.0423,0.117,0.644,171.419,4
spotify:track:3PEpGB4HnS8cFUHfWLoD1K,"MEESTER SUN TZU ZEGT","Ⓐ","Abel",2021-09-28,177362,25,true,11164375455,2026-03-23T19:10:19Z,"nederpop","Burning Fik",0.715,0.371,2,-12.78,0,0.412,0.895,0,0.0887,0.923,85.349,4
spotify:track:4wfm4GBpXmt6WIGW0pMQyr,"Mijn Grootste Vijand","Mijn Grootste Vijand","Jiggy Djé",2011-10-12,174395,28,true,11164375455,2026-03-23T19:10:19Z,"maluku,nederpop,hollands","Noah's Ark BV",0.615,0.695,1,-8.406,1,0.358,0.478,0,0.0874,0.643,89.74,4
spotify:track:7yPGXCaeIr1ofJoqp3LeKF,"Earth","Live From Space","Mac Miller;Future",2013-12-17,256773,0,true,11164375455,2026-03-23T19:10:19Z,"rap","Rostrum Records",0.763,0.483,1,-8.251,1,0.118,0.111,0.00000129,0.0996,0.641,84.011,4
spotify:track:1u42MHYUoiwiWB1sg7ARFj,"Behind Barz","Capo Di Tutti","D-Double;Lijpe",2023-03-09,189593,47,true,11164375455,2026-03-23T19:10:19Z,"","Bankjes",0.67,0.508,6,-9.24,0,0.441,0.609,0,0.122,0.765,92.022,4
spotify:track:2KK7g7Y4rsvz70Bn3kgHEp,"Empire Strikes Back","Empire Strikes Back","Ares",2023-05-12,144209,0,false,11164375455,2026-03-23T19:10:19Z,"","162 Records",0.849,0.623,0,-6.689,0,0.0624,0.0113,0,0.115,0.728,119.999,4
spotify:track:4C4xw8mVrLJftOCxm1BtcY,"This Ain’t What You Wanted","Bae Doven No. 2","sor",2022-05-19,137454,27,true,11164375455,2026-03-23T19:10:19Z,"","Noah's Ark BV",0.471,0.433,7,-9.841,1,0.132,0.714,0,0.104,0.854,95.695,4
spotify:track:0pJO1tc1GpnxFyQp6Zp82r,"Gorilla","NO THANK YOU","Little Simz",2022-12-12,245819,60,true,11164375455,2026-03-23T19:10:19Z,"","Forever Living Originals",0.716,0.813,5,-5.748,1,0.256,0.269,0,0.104,0.682,90.418,4
spotify:track:4aklcHyOrgB2t4iXNgpvk9,"Cuff It","Cuff It","Idaly",2023-09-07,211621,27,true,11164375455,2026-03-23T19:10:19Z,"","Top Notch Music BV",0.904,0.6,0,-6.973,1,0.146,0.0625,0.000143,0.121,0.587,94.987,4
spotify:track:2H9CK7ENR8g4QyczIq2dE5,"Vanzelfsprekend","Vanzelfsprekend","Kevin",2023-08-17,177637,33,true,11164375455,2026-03-23T19:10:19Z,"","Animal Stories / Noah’s Ark BV",0.619,0.604,9,-5.832,1,0.418,0.227,0.00000141,0.14,0.354,81.095,4
spotify:track:0s7Z1RtnsmiYOfSIbB3btD,"Valentina","Valentina","Daniel Caesar",2023-03-31,154531,54,false,11164375455,2026-03-23T19:10:19Z,"","Republic Records",0.754,0.311,0,-5.385,0,0.0388,0.622,0.336,0.116,0.37,92.01,4
