Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0BCPKOYdS2jbQ8iyB56Zns,"Clocks","A Rush of Blood to the Head","Coldplay",2002-08-27,307879,86,false,11164375455,2026-03-23T19:19:53Z,"","Parlophone Records Limited",0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4
spotify:track:0FMjqbY3aWo1QDbo3GwXib,"Always in My Head","Ghost Stories","Coldplay",2014-05-16,216626,66,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.495,0.502,5,-9.307,1,0.0259,0.0127,0.689,0.068,0.0394,97.546,3
spotify:track:23khhseCLQqVMCIT1WMAns,"Magic","Ghost Stories","Coldplay",2014-05-16,285014,73,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,4
spotify:track:6c6W25YoDGjTq3qSPOga5t,"Ink","Ghost Stories","Coldplay",2014-05-16,228373,62,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.688,0.705,6,-7.311,1,0.0323,0.0647,0.124,0.118,0.696,112.019,4
spotify:track:0fQuzbQNLcD1ofo7B2NcFI,"True Love","Ghost Stories","Coldplay",2014-05-16,246000,58,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.482,0.573,11,-7.966,1,0.028,0.00376,0.077,0.123,0.184,119.991,4
spotify:track:4GKk1uNzpxIptBuaY97Dkj,"Midnight","Ghost Stories","Coldplay",2014-05-16,294666,61,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.548,0.475,1,-12.42,1,0.0355,0.615,0.808,0.0944,0.0349,126.974,4
spotify:track:22uzF19LxQW87kOVkR79Fq,"Another's Arms","Ghost Stories","Coldplay",2014-05-16,234413,53,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.516,0.572,8,-9.037,1,0.0291,0.00715,0.254,0.139,0.351,160.023,4
spotify:track:2u4uhtETtcULnkBfFHSnDX,"Oceans","Ghost Stories","Coldplay",2014-05-16,321680,52,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.194,0.132,11,-15.783,1,0.0349,0.919,0.181,0.159,0.04,74.845,4
spotify:track:0FDzzruyVECATHXKHFs9eJ,"A Sky Full of Stars","Ghost Stories","Coldplay",2014-05-16,267866,87,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4
spotify:track:77yuzxCS3csrgTPSW0pvyk,"O","Ghost Stories","Coldplay",2014-05-16,323480,66,false,11164375455,2026-03-23T19:21:03Z,"","Parlophone UK",0.371,0.216,10,-14.727,1,0.0358,0.911,0.826,0.0934,0.0645,136.998,4
